id,nome,idade
970,Carolina Aragão,55
971,Sra. Eduarda Santos,76
972,Maitê Pinto,34
973,Sabrina Fernandes,36
974,Dr. Henrique Nogueira,69
975,Bryan Vieira,55
976,Sr. Pedro Miguel Oliveira,21
977,Sr. Francisco Peixoto,52
978,André Barros,53
979,Sra. Maria Julia Barros,74
980,Sra. Clara Viana,35
981,Srta. Lívia Rocha,47
982,Kevin da Mata,51
983,Juan Costa,39
984,Ana Luiza Monteiro,59
985,Marcela Ramos,76
986,Sra. Ana Sophia Sales,80
987,Thiago Sales,26
988,Camila Rodrigues,22
989,Caroline Cavalcanti,56
990,João da Rocha,52
991,Francisco Moraes,22
992,Amanda da Mata,38
993,Raul da Rosa,34
994,Emanuella da Luz,74
995,Maria Sophia da Paz,46
996,Vitor Gabriel Barbosa,39
997,Maria Alice Souza,51
998,Olivia Duarte,37
999,Luiz Felipe Cavalcanti,55
1000,Bianca Jesus,47
